item_id,item_name,brand,category,style_tags,occasions,color,purchase_price_usd,price_basis,estimated_wears_per_year,wear_basis,source_url,notes
1,Artsy thrifted sweater,Thrifted / unknown,sweater,artsy|unique|statement,coffee_shop|casual_friend_meetup|casual_outing,,35.0,user_reported_actual,12,working estimate; frequency not specified,,Distinctive casual-social sweater; update annual wears if you track it.
2,Babydoll top 1,Hollister,top,babydoll|cute|fitted_or_flowy,casual_outing|friend_meetup|going_out,,24.95,representative_current_price,3,midpoint of user estimate 2-4/year,https://www.hollisterco.com/shop/us/womens-babydoll-tops-tops,Current comparable Hollister babydoll styles are roughly $20-$27.
3,Babydoll top 2,Hollister,top,babydoll|cute|fitted_or_flowy,casual_outing|friend_meetup|going_out,,24.95,representative_current_price,3,midpoint of user estimate 2-4/year,https://www.hollisterco.com/shop/us/womens-babydoll-tops-tops,Duplicate style family is useful for testing redundancy.
4,Embroidered lace-detail tank 1,Hollister,tank_top,embroidered|lace|cute|detail,casual_outing|friend_meetup|going_out,,44.95,representative_current_price,8,midpoint-ish of user estimate 5-10/year,https://www.hollisterco.com/shop/us/womens-tank-tops-tops,Comparable lace/embroidered tanks currently cluster around $40-$50.
5,Embroidered lace-detail tank 2,Hollister,tank_top,embroidered|lace|cute|detail,casual_outing|friend_meetup|going_out,,44.95,representative_current_price,8,midpoint-ish of user estimate 5-10/year,https://www.hollisterco.com/shop/us/womens-tank-tops-tops,Second similar item helps test match/redundancy logic.
6,Going-out top,Aritzia,top,going_out|dressy|cute,going_out|dinner|social_event,,48.0,representative_current_price,4,user said fewer than 5/year,https://www.aritzia.com/us/en/clothing/tops,Representative simple Aritzia going-out tops are around $48; some dressier styles cost more.
7,Basic / collaboration tee 1,Uniqlo,t_shirt,basic|casual|everyday,everyday|school|errands|casual_outing,,19.9,representative_current_price,52,user said at least once per week,https://www.uniqlo.com/us/en/women/tops/t-shirts,High-use basic; intentionally should not be penalized just because multiple tees exist.
8,Basic / collaboration tee 2,Uniqlo,t_shirt,basic|casual|everyday,everyday|school|errands|casual_outing,,19.9,representative_current_price,52,user said at least once per week,https://www.uniqlo.com/us/en/women/tops/t-shirts,High-use basic; intentionally should not be penalized just because multiple tees exist.
9,Basic / collaboration tee 3,Uniqlo,t_shirt,basic|casual|everyday,everyday|school|errands|casual_outing,,19.9,representative_current_price,52,user said at least once per week,https://www.uniqlo.com/us/en/women/tops/t-shirts,High-use basic; intentionally should not be penalized just because multiple tees exist.
10,Basic / collaboration tee 4,Uniqlo,t_shirt,basic|casual|everyday,everyday|school|errands|casual_outing,,19.9,representative_current_price,52,user said at least once per week,https://www.uniqlo.com/us/en/women/tops/t-shirts,High-use basic; intentionally should not be penalized just because multiple tees exist.
11,Cute Aritzia sweater,Aritzia,sweater,cute|personal_style|winter,everyday|school|casual_outing|friend_meetup,,50.0,user_reported_sale_price_supported_by_current_sale_comps,12,about weekly to biweekly during ~16 winter weeks,https://www.aritzia.com/us/en/sale/sale-sweaters,Current Aritzia sale sweaters include options around $46.99-$50.
12,Dark blue jeans,Purchased in China,jeans,basic|denim|everyday,everyday|school|casual_outing|friend_meetup,dark_blue,60.0,user_reported_actual,156,about 3 wears/week,,Very high-use staple.
13,Zip-up hoodie,Aritzia,hoodie,casual|basic|layering|athleisure,everyday|school|errands|casual_outing,,95.0,representative_current_price,130,midpoint of 2-3 wears/week,https://www.aritzia.com/us/en/clothing/sweaters/sweatshirts,Current Aritzia zip hoodies are commonly around $88-$98.
14,Sweatpants,Hollister,sweatpants,casual|basic|loungewear|athleisure,everyday|school|errands|lounge,,44.95,representative_current_price,52,about 1 wear/week,https://www.hollisterco.com/shop/us/womens-sweatpants-bottoms,Current core Hollister women's sweatpants are about $44.95.
15,Formal cute sweater / top 1,Purchased in China,dressy_top,formal|cute|polished,formal_event|presentation|special_occasion,,40.0,user_reported_actual,4,user said fewer than 5/year,,Low-frequency special-occasion item.
16,Formal cute sweater / top 2,Purchased in China,dressy_top,formal|cute|polished,formal_event|presentation|special_occasion,,40.0,user_reported_actual,4,user said fewer than 5/year,,Second similar formal item gives redundancy signal.
